0	38912
0	38912
0	39944
0	40012
1	5742
1	38912
2	3430
2	5747
2	39845
3	5806
3	38967
4	40009
5	40014
6	6
6	43
6	53
6	53
6	57
6	57
6	130
6	152
6	177
6	238
6	427
6	698
6	1236
6	1236
6	1720
6	2096
6	2210
6	2210
6	2254
6	2817
6	2950
6	3252
6	3492
6	3525
6	3654
6	3934
6	4158
6	4459
6	4743
6	5331
6	5453
6	5462
6	5612
6	5763
6	5791
6	5814
6	5977
6	19036
6	19041
6	28642
6	28856
6	28962
6	29001
6	30531
6	30550
6	30560
6	30561
6	30563
6	30565
6	30569
6	30569
6	30570
6	30574
6	31533
6	31624
6	33626
6	33880
6	35110
6	38357
6	38912
6	38912
6	38940
6	38940
6	38940
6	38956
6	39069
6	39845
6	39929
6	39934
6	39944
6	39948
6	39951
6	39955
6	39958
6	39958
6	39961
6	39963
6	40015
8	5824
8	39933
8	40008
10	5742
12	30561
12	40016
14	6557
15	38912
15	38912
15	38912
16	53
16	112
16	268
16	410
16	576
16	759
16	959
16	961
16	1068
16	1069
16	1110
16	3331
16	3390
16	3604
16	3653
16	3950
16	4162
16	4164
16	4276
16	4388
16	4830
16	5182
16	5182
16	5416
16	5738
16	5766
16	6040
16	6959
16	7118
16	7407
16	19041
16	26553
16	29007
16	29031
16	30531
16	30531
16	30541
16	30559
16	30560
16	30573
16	30574
16	30574
16	30574
16	33030
16	33039
16	37007
16	38876
16	38912
16	38940
16	38940
16	38967
16	38988
16	39069
16	39792
16	39928
16	39929
16	39937
16	39940
16	39946
16	39957
16	39963
16	39963
16	39987
16	40014
16	40019
16	40022
17	33487
17	40011
17	40023
18	39994
18	40018
19	5821
19	38967
22	38940
22	38940
22	38940
22	38940
22	38967
22	38990
23	38927
23	38940
23	40005
24	961
24	38940
24	38942
24	38967
24	40031
25	5807
25	5813
25	7737
26	29
26	170
26	865
26	961
26	961
26	981
26	1152
26	1237
26	1554
26	1655
26	2322
26	4059
26	4138
26	4146
26	4152
26	4312
26	4691
26	4743
26	4934
26	4934
26	5737
26	5740
26	5743
26	5755
26	5796
26	5798
26	5805
26	6042
26	7978
26	19041
26	29009
26	29022
26	30531
26	30558
26	30560
26	30560
26	30561
26	30565
26	30566
26	30566
26	30566
26	30566
26	30570
26	30571
26	30574
26	33039
26	33626
26	34145
26	38876
